BMapID	ExpID	Exp Name	Year	1st Author	PubMed	Diagnosis	Stimulus Mod	Stimulus Type	Response Mod	Response Type	Instructions	Context	Paradigm	Behavior	Activation	#Subj
7070191	1	Prediction Under Uncertainty vs. Prediction Under Certainty	NeuroImage	2003	Volz K G	12814578	Normals	Visual	Pictures	Hand	Button Press	Discriminate	Normal Mapping	Reward	Cognition, Emotion	Y	16
7070191	2	Positive Covariation with Increasing Prediction Uncertainty	NeuroImage	2003	Volz K G	12814578	Normals	Visual	Pictures	Hand	Button Press	Discriminate	Normal Mapping	Reward	Cognition, Emotion	Y	16
7070192	1	All Irony vs. No Irony, Controls	Archives of General Psychiatry	2007	Wang A T	17548751	Normals	Auditory, Visual	Pictures, Words	Hand	Button Press	Discriminate	Normal Mapping	Pitch Monitor/Discrimination, Semantic Monitor/Discrimination	Cognition	Y	18
7070192	2	All Irony vs. No Irony, Controls > Autistic Subjects	Archives of General Psychiatry	2007	Wang A T	17548751	Autism Spectrum Disorders, Normals	Auditory, Visual	Pictures, Words	Hand	Button Press	Discriminate	Disease Effects	Pitch Monitor/Discrimination, Semantic Monitor/Discrimination	Cognition	Y	18
7070192	3	All Irony vs. No Irony, Autistic Subjects > Controls	Archives of General Psychiatry	2007	Wang A T	17548751	Autism Spectrum Disorders, Normals	Auditory, Visual	Pictures, Words	Hand	Button Press	Discriminate	Disease Effects	Pitch Monitor/Discrimination, Semantic Monitor/Discrimination	Cognition	Y	18
7070192	4	Neutral Instructions vs. Rest, Controls	Archives of General Psychiatry	2007	Wang A T	17548751	Normals	Auditory, None, Visual	None, Pictures, Words	Hand, None	Button Press, None	Discriminate, Passive/Rest	Normal Mapping	Semantic Monitor/Discrimination	Cognition	Y	18
7070192	5	Neutral Instructions vs. Rest, Autistic Subjects	Archives of General Psychiatry	2007	Wang A T	17548751	Autism Spectrum Disorders	Auditory, None, Visual	None, Pictures, Words	Hand, None	Button Press, None	Discriminate, Passive/Rest	Disease Effects	Semantic Monitor/Discrimination	Cognition	Y	18
7070192	6	Attend Face or Prosody vs. Rest, Controls	Archives of General Psychiatry	2007	Wang A T	17548751	Normals	Auditory, None, Visual	None, Pictures, Words	Hand, None	Button Press, None	Discriminate, Passive/Rest	Normal Mapping	Pitch Monitor/Discrimination, Semantic Monitor/Discrimination	Cognition	Y	18
7070192	7	Attend Face or Prosody vs. Rest, Autistic Subjects	Archives of General Psychiatry	2007	Wang A T	17548751	Autism Spectrum Disorders	Auditory, None, Visual	None, Pictures, Words	Hand, None	Button Press, None	Discriminate, Passive/Rest	Disease Effects	Pitch Monitor/Discrimination, Semantic Monitor/Discrimination	Cognition	Y	18
7070192	8	Neutral Instructions vs. Rest, Controls > Autistic Subjects	Archives of General Psychiatry	2007	Wang A T	17548751	Autism Spectrum Disorders, Normals	Auditory, None, Visual	None, Pictures, Words	Hand, None	Button Press, None	Discriminate, Passive/Rest	Disease Effects	Semantic Monitor/Discrimination	Cognition	Y	18
7070192	9	Attend Face or Prosody vs. Rest, Control > Autistic Subjects	Archives of General Psychiatry	2007	Wang A T	17548751	Autism Spectrum Disorders, Normals	Auditory, None, Visual	None, Pictures, Words	Hand, None	Button Press, None	Discriminate, Passive/Rest	Disease Effects	Pitch Monitor/Discrimination, Semantic Monitor/Discrimination	Cognition	Y	18
7070192	10	Attend Face or Prosody vs. Neutral Instructions, Autistic Subjects > Controls	Archives of General Psychiatry	2007	Wang A T	17548751	Autism Spectrum Disorders, Normals	Auditory, Visual	Pictures, Words	Hand	Button Press	Discriminate	Disease Effects	Pitch Monitor/Discrimination, Semantic Monitor/Discrimination	Cognition	Y	18
7070193	1	Responders vs. Non-Responders, Normal Sleep	American Journal of Psychiatry	1999	Wu J	10450253	Depression	None	None	None	None	Passive/Rest	Disease Effects, Treatment Effects	Rest	Interoception.Sleep	Y	12
7070193	2	Responders vs. Normals, Normal Sleep	American Journal of Psychiatry	1999	Wu J	10450253	Depression, Normals	None	None	None	None	Passive/Rest	Disease Effects, Treatment Effects	Rest	Interoception.Sleep	Y	12
7070193	3	Non-Responders vs. Normals, Normal Sleep	American Journal of Psychiatry	1999	Wu J	10450253	Depression, Normals	None	None	None	None	Passive/Rest	Disease Effects	Rest	Interoception.Sleep	Y	24
7070193	4	Sleep Deprivation vs. Normal Sleep, Responders	American Journal of Psychiatry	1999	Wu J	10450253	Depression	None	None	None	None	Passive/Rest	Disease Effects, Treatment Effects	Rest	Interoception.Sleep	Y	12
7070193	5	Sleep Deprivation vs. Normal Sleep, Normals	American Journal of Psychiatry	1999	Wu J	10450253	Normals	None	None	None	None	Passive/Rest	Normal Mapping	Rest	Interoception.Sleep	Y	26
7070194	1	Main Effect of Magnitude	Journal of Neuroscience	2006	Yacubian J	16971537	Normals	Visual	Pictures	Hand	Button Press	Discriminate	Normal Mapping	Reward	Cognition, Emotion	Y	42
7070194	2	Main Effect of Probability	Journal of Neuroscience	2006	Yacubian J	16971537	Normals	Visual	Pictures	Hand	Button Press	Discriminate	Normal Mapping	Reward	Cognition, Emotion	Y	42
7070194	3	Main Effect of Gain-Related Expected Value, Normals Group 1	Journal of Neuroscience	2006	Yacubian J	16971537	Normals	Visual	Pictures	Hand	Button Press	Discriminate	Normal Mapping	Reward	Cognition, Emotion	Y	42
7070194	4	Main Effect of Gain-Related Expected Value, Normals Group 2	Journal of Neuroscience	2006	Yacubian J	16971537	Normals	Visual	Pictures	Hand	Button Press	Discriminate	Normal Mapping	Reward	Cognition, Emotion	Y	24
7070194	5	Gain > Loss	Journal of Neuroscience	2006	Yacubian J	16971537	Normals	Visual	Pictures	Hand	Button Press	Discriminate	Normal Mapping	Reward	Cognition, Emotion	Y	42
7070194	6	Prediction Error-Related Responses, Normals Group 1	Journal of Neuroscience	2006	Yacubian J	16971537	Normals	Visual	Pictures	Hand	Button Press	Discriminate	Normal Mapping	Reward	Cognition, Emotion	Y	42
7070194	7	Prediction Error-Related Responses, Normals Group 2	Journal of Neuroscience	2006	Yacubian J	16971537	Normals	Visual	Pictures	Hand	Button Press	Discriminate	Normal Mapping	Reward	Cognition, Emotion	Y	24
7070194	8	Prediction Error Dynamic Probabilities on a Trial-by-Trial Basis	Journal of Neuroscience	2006	Yacubian J	16971537	Normals	Visual	Pictures	Hand	Button Press	Discriminate	Normal Mapping	Reward	Cognition, Emotion	Y	42
7070194	9	Loss-Related Responses, Normals Group 1	Journal of Neuroscience	2006	Yacubian J	16971537	Normals	Visual	Pictures	Hand	Button Press	Discriminate	Normal Mapping	Reward	Cognition, Emotion	Y	42
7070194	10	Loss-Related Responses, Normals Group 2	Journal of Neuroscience	2006	Yacubian J	16971537	Normals	Visual	Pictures	Hand	Button Press	Discriminate	Normal Mapping	Reward	Cognition, Emotion	Y	24
7070194	11	Loss Dynamic Probabilities on a Trial-by-Trial Basis	Journal of Neuroscience	2006	Yacubian J	16971537	Normals	Visual	Pictures	Hand	Button Press	Discriminate	Normal Mapping	Reward	Cognition, Emotion	Y	42
7070195	1	QHCL > Water	Journal of Neurophysiology	2002	Zald D H	null	Normals	Gustatory	Food	None	None	Attend	Normal Mapping	Taste	Perception.Gustation	Y	9
7070195	2	QHCL > Sucrose	Journal of Neurophysiology	2002	Zald D H	null	Normals	Gustatory	Food	None	None	Attend	Normal Mapping	Taste	Perception.Gustation	Y	9
7070195	3	Sucrose > QHCL	Journal of Neurophysiology	2002	Zald D H	null	Normals	Gustatory	Food	None	None	Attend	Normal Mapping	Taste	Perception.Gustation	Y	9
7070196	1	Areas Correlating with the Tension-Anxiety Mood Scale, Study 1	Proceedings of the National Academy of Sciences	2002	Zald D H	11842195	Normals	None	None	None	None	Passive/Rest	Normal Mapping	Rest	Emotion.Anxiety	Y	51
7070196	2	Areas Correlating with the Tension-Anxiety Mood Scale, Study 2	Proceedings of the National Academy of Sciences	2002	Zald D H	11842195	Normals	None	None	None	None	Passive/Rest	Normal Mapping	Rest	Emotion.Anxiety	Y	38
7070197	1	MSGIMP + MSG + IMP vs. Tasteless Solution	Journal of Neurophysiology	2003	de Araujo I E T	12843312	Normals	Gustatory	Food	Hand	Button Press	Discriminate	Normal Mapping	Taste	Perception.Gustation	Y	10
7070197	2	MSGIMP vs. MSG + IMP	Journal of Neurophysiology	2003	de Araujo I E T	12843312	Normals	Gustatory	Food	Hand	Button Press	Discriminate	Normal Mapping	Taste	Perception.Gustation	Y	10
7080198	1	Error Trial Activations, OCD Patients	Biological Psychiatry	2005	Fitzgerald K D	15691530	Obsessive Compulsive Disorder	Visual	Letters	Hand	Button Press	Discriminate	Disease Effects	Flanker	Cognition.Attention	Y	8
7080198	2	Error Trial Activations, Normals	Biological Psychiatry	2005	Fitzgerald K D	15691530	Normals	Visual	Letters	Hand	Button Press	Discriminate	Normal Mapping	Flanker	Cognition.Attention	Y	7
7080198	3	Error Trial Activations, OCD Patients > Normals	Biological Psychiatry	2005	Fitzgerald K D	15691530	Normals, Obsessive Compulsive Disorder	Visual	Letters	Hand	Button Press	Discriminate	Disease Effects	Flanker	Cognition.Attention	Y	7
7080198	4	High > Low Interference, Normals > OCD Patients	Biological Psychiatry	2005	Fitzgerald K D	15691530	Normals, Obsessive Compulsive Disorder	Visual	Letters	Hand	Button Press	Discriminate	Disease Effects	Flanker	Cognition.Attention	Y	7
7080198	5	High > No Interference, Normals	Biological Psychiatry	2005	Fitzgerald K D	15691530	Normals	Visual	Letters	Hand	Button Press	Discriminate	Normal Mapping	Flanker	Cognition.Attention	Y	7
7080198	6	High > Low Interference, Normals	Biological Psychiatry	2005	Fitzgerald K D	15691530	Normals	Visual	Letters	Hand	Button Press	Discriminate	Normal Mapping	Flanker	Cognition.Attention	Y	7
7080198	7	High > No Interference, OCD Patients	Biological Psychiatry	2005	Fitzgerald K D	15691530	Obsessive Compulsive Disorder	Visual	Letters	Hand	Button Press	Discriminate	Disease Effects	Flanker	Cognition.Attention	Y	8
7080198	8	High > Low Interference, OCD Patients	Biological Psychiatry	2005	Fitzgerald K D	15691530	Obsessive Compulsive Disorder	Visual	Letters	Hand	Button Press	Discriminate	Disease Effects	Flanker	Cognition.Attention	Y	8
7080198	9	High > No Interference, OCD Patients > Normals	Biological Psychiatry	2005	Fitzgerald K D	15691530	Normals, Obsessive Compulsive Disorder	Visual	Letters	Hand	Button Press	Discriminate	Disease Effects	Flanker	Cognition.Attention	Y	7
7080198	10	High > Low Interference, OCD Patients > Normals	Biological Psychiatry	2005	Fitzgerald K D	15691530	Normals, Obsessive Compulsive Disorder	Visual	Letters	Hand	Button Press	Discriminate	Disease Effects	Flanker	Cognition.Attention	Y	7
7080199	1	Main Effect of Valence (Activations)	Journal of Neuroscience	2005	Knutson B	15888656	Normals	Visual	Shapes	Hand	Button Press	Move	Normal Mapping	Reward	Cognition, Emotion	Y	14
7080199	2	Main Effect of Valence (Deactivations)	Journal of Neuroscience	2005	Knutson B	15888656	Normals	Visual	Shapes	Hand	Button Press	Move	Normal Mapping	Reward	Cognition, Emotion	N	14
7080199	3	Main Effect of Magnitude (Activations)	Journal of Neuroscience	2005	Knutson B	15888656	Normals	Visual	Shapes	Hand	Button Press	Move	Normal Mapping	Reward	Cognition, Emotion	Y	14
7080199	4	Main Effect of Magnitude (Deactivations)	Journal of Neuroscience	2005	Knutson B	15888656	Normals	Visual	Shapes	Hand	Button Press	Move	Normal Mapping	Reward	Cognition, Emotion	N	14
7080199	5	Main Effect of Probability (Activations)	Journal of Neuroscience	2005	Knutson B	15888656	Normals	Visual	Shapes	Hand	Button Press	Move	Normal Mapping	Reward	Cognition, Emotion	Y	14
7080199	6	Main Effect of Probability (Deactivations)	Journal of Neuroscience	2005	Knutson B	15888656	Normals	Visual	Shapes	Hand	Button Press	Move	Normal Mapping	Reward	Cognition, Emotion	N	14
7080199	7	Interaction of Valence by Magnitude	Journal of Neuroscience	2005	Knutson B	15888656	Normals	Visual	Shapes	Hand	Button Press	Move	Normal Mapping	Reward	Cognition, Emotion	Y	14
7080199	8	Interaction of Valence by Magnitude and Probability	Journal of Neuroscience	2005	Knutson B	15888656	Normals	Visual	Shapes	Hand	Button Press	Move	Normal Mapping	Reward	Cognition, Emotion	Y	14
7080200	1	Disgust vs. Neutral, All Subjects	Biological Psychiatry	2007	Lawrence N S	17097073	Normals, Obsessive Compulsive Disorder	Visual	Faces	None	None	Attend	Disease Effects	Face Monitor/Discrimination	Emotion.Disgust	Y	17
7080200	2	Disgust vs. Neutral, OCD Patients > Normals	Biological Psychiatry	2007	Lawrence N S	17097073	Normals, Obsessive Compulsive Disorder	Visual	Faces	None	None	Attend	Disease Effects	Face Monitor/Discrimination	Emotion.Disgust	Y	17
7080200	3	Disgust vs. Neutral, Normals > OCD Patients	Biological Psychiatry	2007	Lawrence N S	17097073	Normals, Obsessive Compulsive Disorder	Visual	Faces	None	None	Attend	Disease Effects	Face Monitor/Discrimination	Emotion.Disgust	Y	17
7080200	4	Fear vs. Neutral, All Subjects 	Biological Psychiatry	2007	Lawrence N S	17097073	Normals, Obsessive Compulsive Disorder	Visual	Faces	None	None	Attend	Disease Effects	Face Monitor/Discrimination	Emotion.Fear	Y	17
7080201	1	Contamination/Washing, OCD Patients > Normals	Archives of General Psychiatry	2004	Mataix-Cols D	15184236	Normals, Obsessive Compulsive Disorder	Auditory, Visual	Pictures, Words	None	None	Imagine	Disease Effects	Imagined Objects/Scenes	Emotion.Anxiety, Emotion.Disgust	Y	7
7080201	2	Contamination/Washing, Normals > OCD Patients	Archives of General Psychiatry	2004	Mataix-Cols D	15184236	Normals, Obsessive Compulsive Disorder	Auditory, Visual	Pictures, Words	None	None	Imagine	Disease Effects	Imagined Objects/Scenes	Emotion.Anxiety, Emotion.Disgust	Y	7
7080201	3	Aggressive/Checking, OCD Patients > Normals	Archives of General Psychiatry	2004	Mataix-Cols D	15184236	Normals, Obsessive Compulsive Disorder	Auditory, Visual	Pictures, Words	None	None	Imagine	Disease Effects	Imagined Objects/Scenes	Emotion.Anxiety	Y	7
7080201	4	Aggressive/Checking, Normals > OCD Patients	Archives of General Psychiatry	2004	Mataix-Cols D	15184236	Normals, Obsessive Compulsive Disorder	Auditory, Visual	Pictures, Words	None	None	Imagine	Disease Effects	Imagined Objects/Scenes	Emotion.Anxiety	Y	7
7080201	5	Hoarding, OCD Patients > Normals	Archives of General Psychiatry	2004	Mataix-Cols D	15184236	Normals, Obsessive Compulsive Disorder	Auditory, Visual	Pictures, Words	None	None	Imagine	Disease Effects	Imagined Objects/Scenes	Emotion.Anxiety	Y	7
7080201	6	Hoarding,  Normals > OCD Patients	Archives of General Psychiatry	2004	Mataix-Cols D	15184236	Normals, Obsessive Compulsive Disorder	Auditory, Visual	Pictures, Words	None	None	Imagine	Disease Effects	Imagined Objects/Scenes	Emotion.Anxiety	Y	7
7080201	7	Universally Aversive, OCD Patients > Normals	Archives of General Psychiatry	2004	Mataix-Cols D	15184236	Normals, Obsessive Compulsive Disorder	Auditory, Visual	Pictures, Words	None	None	Imagine	Disease Effects	Imagined Objects/Scenes	Emotion.Anxiety, Emotion.Disgust	Y	7
7080201	8	Universally Aversive, Normals > OCD Patients	Archives of General Psychiatry	2004	Mataix-Cols D	15184236	Normals, Obsessive Compulsive Disorder	Auditory, Visual	Pictures, Words	None	None	Imagine	Disease Effects	Imagined Objects/Scenes	Emotion.Anxiety, Emotion.Disgust	Y	7
7080201	9	Contamination/Washing, Pure OCD > Comorbid OCD	Archives of General Psychiatry	2004	Mataix-Cols D	15184236	Obsessive Compulsive Disorder	Auditory, Visual	Pictures, Words	None	None	Imagine	Disease Effects	Imagined Objects/Scenes	Emotion.Anxiety, Emotion.Disgust	Y	7
7080201	10	Contamination/Washing, Comorbid OCD > Pure OCD	Archives of General Psychiatry	2004	Mataix-Cols D	15184236	Obsessive Compulsive Disorder	Auditory, Visual	Pictures, Words	None	None	Imagine	Disease Effects	Imagined Objects/Scenes	Emotion.Anxiety, Emotion.Disgust	Y	7
7080201	11	Aggressive/Checking, Pure OCD > Comorbid OCD	Archives of General Psychiatry	2004	Mataix-Cols D	15184236	Obsessive Compulsive Disorder	Auditory, Visual	Pictures, Words	None	None	Imagine	Disease Effects	Imagined Objects/Scenes	Emotion.Anxiety	Y	7
7080201	12	Aggressive/Checking, Comorbid OCD > Pure OCD	Archives of General Psychiatry	2004	Mataix-Cols D	15184236	Obsessive Compulsive Disorder	Auditory, Visual	Pictures, Words	None	None	Imagine	Disease Effects	Imagined Objects/Scenes	Emotion.Anxiety	Y	7
7080201	13	Hoarding, Pure OCD > Comorbid OCD	Archives of General Psychiatry	2004	Mataix-Cols D	15184236	Obsessive Compulsive Disorder	Auditory, Visual	Pictures, Words	None	None	Imagine	Disease Effects	Imagined Objects/Scenes	Emotion.Anxiety	Y	7
7080201	14	Hoarding, Comorbid OCD > Pure OCD	Archives of General Psychiatry	2004	Mataix-Cols D	15184236	Obsessive Compulsive Disorder	Auditory, Visual	Pictures, Words	None	None	Imagine	Disease Effects	Imagined Objects/Scenes	Emotion.Anxiety	Y	7
7080201	15	Universally Aversive, Pure OCD > Comorbid OCD	Archives of General Psychiatry	2004	Mataix-Cols D	15184236	Obsessive Compulsive Disorder	Auditory, Visual	Pictures, Words	None	None	Imagine	Disease Effects	Imagined Objects/Scenes	Emotion.Anxiety, Emotion.Disgust	Y	7
7080201	16	Universally Aversive, Comorbid OCD > Pure OCD	Archives of General Psychiatry	2004	Mataix-Cols D	15184236	Obsessive Compulsive Disorder	Auditory, Visual	Pictures, Words	None	None	Imagine	Disease Effects	Imagined Objects/Scenes	Emotion.Anxiety, Emotion.Disgust	Y	7
7080202	1	Stroop, OCD Patients	Psychiatry Research	2005	Nakao T	15970434	Obsessive Compulsive Disorder	Visual	Asian Characters	None	None	Name	Disease Effects	Stroop	Cognition.Attention	Y	24
7080202	2	Stroop, Normals	Psychiatry Research	2005	Nakao T	15970434	Normals	Visual	Asian Characters	None	None	Name	Normal Mapping	Stroop	Cognition.Attention	Y	14
7080202	3	OCD Patients > Normals	Psychiatry Research	2005	Nakao T	15970434	Normals, Obsessive Compulsive Disorder	Visual	Asian Characters	None	None	Name	Disease Effects	Stroop	Cognition.Attention	Y	14
7080202	4	Normals > OCD Patients	Psychiatry Research	2005	Nakao T	15970434	Normals, Obsessive Compulsive Disorder	Visual	Asian Characters	None	None	Name	Disease Effects	Stroop	Cognition.Attention	Y	14
7080203	1	Response Inhibition, Normals	Biological Psychiatry	2007	Roth R M	17511967	Normals	None, Visual	None, Shapes	None	None	Detect, Passive/Rest	Normal Mapping	Go/No-Go	Action.Inhibition, Cognition.Attention	Y	14
7080203	2	Response Inhibition, OCD Patients	Biological Psychiatry	2007	Roth R M	17511967	Obsessive Compulsive Disorder	None, Visual	None, Shapes	None	None	Detect, Passive/Rest	Disease Effects	Go/No-Go	Action.Inhibition, Cognition.Attention	Y	6
7080203	3	Response Inhibition, Normals > OCD Patients	Biological Psychiatry	2007	Roth R M	17511967	Normals, Obsessive Compulsive Disorder	None, Visual	None, Shapes	None	None	Detect, Passive/Rest	Disease Effects	Go/No-Go	Action.Inhibition, Cognition.Attention	Y	6
7080203	4	Response Inhibition, OCD Patients > Normals	Biological Psychiatry	2007	Roth R M	17511967	Normals, Obsessive Compulsive Disorder	None, Visual	None, Shapes	None	None	Detect, Passive/Rest	Disease Effects	Go/No-Go	Action.Inhibition, Cognition.Attention	Y	6
7080203	5	Negative Correlations between Symptom Severity and Response Inhibition in OCD Patients	Biological Psychiatry	2007	Roth R M	17511967	Obsessive Compulsive Disorder	Visual	Shapes	None	None	Detect	Disease Effects	Go/No-Go	Action.Inhibition, Cognition.Attention	N	6
7080203	6	Positive Correlations between Symptom Severity and Response Inhibition in OCD Patients	Biological Psychiatry	2007	Roth R M	17511967	Obsessive Compulsive Disorder	Visual	Shapes	None	None	Detect	Disease Effects	Go/No-Go	Action.Inhibition, Cognition.Attention	Y	6
7080203	7	Response Inhibition, Unmedicated > Medicated OCD Patients	Biological Psychiatry	2007	Roth R M	17511967	Obsessive Compulsive Disorder	Visual	Shapes	None	None	Detect	Disease Effects, Treatment Effects	Go/No-Go	Action.Inhibition, Cognition.Attention	Y	6
7080203	8	Response Inhibition, Medicated > Unmedicated OCD Patients	Biological Psychiatry	2007	Roth R M	17511967	Obsessive Compulsive Disorder	Visual	Shapes	None	None	Detect	Disease Effects, Treatment Effects	Go/No-Go	Action.Inhibition, Cognition.Attention, Pharmacology.Psychiatric Medications.Antidepressants.SSRIs	Y	6
7080204	1	NoGo, Successful Inhibition - NoGo, Unsuccessful Inhibition	NeuroImage	2003	Rubia K	14527595	Normals	Visual	Symbols	Hand, None	Button Press, None	Discriminate	Normal Mapping	Go/No-Go	Action.Inhibition, Cognition.Attention	Y	20
7080204	2	NoGo, Unsuccessful Inhibition - Go Response	NeuroImage	2003	Rubia K	14527595	Normals	Visual	Shapes, Symbols	Hand	Button Press	Discriminate	Normal Mapping	Go/No-Go	Action.Inhibition, Cognition.Attention	Y	20
7080205	1	OCD-Relevant > Neutral, OCD Patients	International Journal of Psychophysiology	2005	Schienle A	15935263	Obsessive Compulsive Disorder	Visual	Pictures	None	None	Attend	Disease Effects	Passive Viewing	Emotion.Anxiety, Emotion.Disgust	Y	5
7080205	2	OCD-Relevant > Disgust, OCD Patients	International Journal of Psychophysiology	2005	Schienle A	15935263	Obsessive Compulsive Disorder	Visual	Pictures	None	None	Attend	Disease Effects	Passive Viewing	Emotion.Anxiety, Emotion.Disgust	Y	5
7080205	3	OCD-Relevant > Fear, OCD Patients	International Journal of Psychophysiology	2005	Schienle A	15935263	Obsessive Compulsive Disorder	Visual	Pictures	None	None	Attend	Disease Effects	Passive Viewing	Emotion.Anxiety, Emotion.Disgust	Y	5
7080205	4	Digust > Neutral, OCD Patients	International Journal of Psychophysiology	2005	Schienle A	15935263	Obsessive Compulsive Disorder	Visual	Pictures	None	None	Attend	Disease Effects	Passive Viewing	Emotion.Disgust	Y	5
7080205	5	Fear > Neutral, OCD Patients	International Journal of Psychophysiology	2005	Schienle A	15935263	Obsessive Compulsive Disorder	Visual	Pictures	None	None	Attend	Disease Effects	Passive Viewing	Emotion.Fear	Y	5
7080205	6	OCD-Relevant > Neutral, OCD Patients > Normals	International Journal of Psychophysiology	2005	Schienle A	15935263	Normals, Obsessive Compulsive Disorder	Visual	Pictures	None	None	Attend	Disease Effects	Passive Viewing	Emotion.Anxiety, Emotion.Disgust	Y	5
7080205	7	Disgust > Neutral, OCD Patients > Normals	International Journal of Psychophysiology	2005	Schienle A	15935263	Normals, Obsessive Compulsive Disorder	Visual	Pictures	None	None	Attend	Disease Effects	Passive Viewing	Emotion.Disgust	Y	5
7080205	8	Fear > Neutral, OCD Patients > Normals	International Journal of Psychophysiology	2005	Schienle A	15935263	Normals, Obsessive Compulsive Disorder	Visual	Pictures	None	None	Attend	Disease Effects	Passive Viewing	Emotion.Fear	Y	5
7080205	9	OCD-Relevant > Neutral, Unmedicated > Medicated OCD Patients	International Journal of Psychophysiology	2005	Schienle A	15935263	Obsessive Compulsive Disorder	Visual	Pictures	None	None	Attend	Drug Effects	Passive Viewing	Emotion.Anxiety, Pharmacology.Psychiatric Medications.Antidepressants	Y	5
7080206	1	Disgust-Induced Activations, Normals	Biological Psychiatry	2003	Shapira N A	14512216	Normals	Visual	Pictures	None	None	Attend	Normal Mapping	Passive Viewing	Emotion.Disgust	Y	8
7080206	2	Threat-Induced Activations, Normals	Biological Psychiatry	2003	Shapira N A	14512216	Normals	Visual	Pictures	None	None	Attend	Normal Mapping	Passive Viewing	Emotion.Fear	Y	8
7080206	3	Disgust-Induced Activations, OCD Patients > Normals	Biological Psychiatry	2003	Shapira N A	14512216	Normals, Obsessive Compulsive Disorder	Visual	Pictures	None	None	Attend	Disease Effects	Passive Viewing	Emotion.Disgust	Y	8
7080206	4	Disgust-Induced Deactivations, OCD Patients > Normals	Biological Psychiatry	2003	Shapira N A	14512216	Normals, Obsessive Compulsive Disorder	Visual	Pictures	None	None	Attend	Disease Effects	Passive Viewing	Emotion.Disgust	N	8
7080207	1	Activations Correlated with Magnitude	Journal of Neurophysiology	2007	Tobler P N	17122317	Normals	Visual	Shapes	Hand	Button Press	Discriminate	Normal Mapping	Reward	Cognition, Emotion	Y	16
7080207	2	Activations Correlated with Probability	Journal of Neurophysiology	2007	Tobler P N	17122317	Normals	Visual	Shapes	Hand	Button Press	Discriminate	Normal Mapping	Reward	Cognition, Emotion	Y	16
7080207	3	Activations Correlated with Expected Value	Journal of Neurophysiology	2007	Tobler P N	17122317	Normals	Visual	Shapes	Hand	Button Press	Discriminate	Normal Mapping	Reward	Cognition, Emotion	Y	16
7080208	1	OCD Patients > Normals, Error-Related Activation (Whole Brain Analysis)	Psychological Science	2003	Ursu S	12807408	Normals, Obsessive Compulsive Disorder	Visual	Letters	Hand	Button Press	Detect	Disease Effects	Go/No-Go	Cognition.Attention	Y	11
7080209	1	Non-Repeated vs. Repeated Trials, OCD Patients > Normals	Psychological Medicine	2005	Viard A	16045067	Normals, Obsessive Compulsive Disorder	Visual	Digits	Hand	Button Press	Discriminate	Disease Effects	Counting/Calculation	Cognition	Y	12
7080209	2	Non-Repeated vs. Repeated Trials, Resistant > Non-Resistant Patients	Psychological Medicine	2005	Viard A	16045067	Obsessive Compulsive Disorder	Visual	Digits	Hand	Button Press	Discriminate	Disease Effects	Counting/Calculation	Cognition	Y	12
7080210	1	Congruent vs. Incongruent, Controls 	Biological Psychiatry	2006	Wagner G	16458263	Normals	Visual	Words	Hand	Button Press	Discriminate	Normal Mapping	Stroop	Cognition.Attention	Y	16
7080210	2	Congruent vs. Incongruent, Unipolar Depressed Patients	Biological Psychiatry	2006	Wagner G	16458263	Depression	Visual	Words	Hand	Button Press	Discriminate	Disease Effects	Stroop	Cognition.Attention	Y	16
7080210	3	Incongruent, Unipolar Depressed Patients vs. Controls	Biological Psychiatry	2006	Wagner G	16458263	Depression, Normals	Visual	Words	Hand	Button Press	Discriminate	Disease Effects	Stroop	Cognition.Attention	Y	16
7080211	1	Incongruent > Congruent, Normals	Archives of General Psychiatry	2007	Yucel M	17679639	Normals	Visual	Digits	Hand	Button Press	Discriminate	Normal Mapping	Flanker	Cognition.Attention	Y	19
7080211	2	Incongruent > Congruent, OCD Patients	Archives of General Psychiatry	2007	Yucel M	17679639	Obsessive Compulsive Disorder	Visual	Digits	Hand	Button Press	Discriminate	Disease Effects	Flanker	Cognition.Attention	Y	19
7080211	3	Incongruent > Congruent, OCD Patients > Normals	Archives of General Psychiatry	2007	Yucel M	17679639	Normals, Obsessive Compulsive Disorder	Visual	Digits	Hand	Button Press	Discriminate	Disease Effects	Flanker	Cognition.Attention	Y	19
7080211	4	Incongruent > Congruent, Normals > OCD Patients	Archives of General Psychiatry	2007	Yucel M	17679639	Normals, Obsessive Compulsive Disorder	Visual	Digits	Hand	Button Press	Discriminate	Disease Effects	Flanker	Cognition.Attention	Y	19
7080212	1	Sucrose + Strawberry - Tasteless Solution	European Journal of Neuroscience	2003	de Araujo I E T	14622239	Normals	Gustatory, Olfactory	Food, Odor	Hand, Oral/Facial	Button Press, Swallow	Discriminate	Normal Mapping	Olfactory Monitor/Discrimination, Taste	Perception.Gustation, Perception.Olfaction	Y	11
7080212	2	Sucrose - Tasteless Solution	European Journal of Neuroscience	2003	de Araujo I E T	14622239	Normals	Gustatory	Food	Hand, Oral/Facial	Button Press, Swallow	Discriminate	Normal Mapping	Taste	Perception.Gustation	Y	11
7080212	3	Strawberry Odor - Tasteless Solution	European Journal of Neuroscience	2003	de Araujo I E T	14622239	Normals	Gustatory, Olfactory	Food, Odor	Hand, Oral/Facial	Button Press, Swallow	Discriminate	Normal Mapping	Olfactory Monitor/Discrimination	Perception.Olfaction	Y	11
